1835B | Shocking Arrangement,https://codeforces.com/problemset/problem/1798/D,"constructive algorithms,greedy,math"
1835A | Candy Store,https://codeforces.com/problemset/problem/1798/C,"greedy,math,number theory"
1834F | Three Sevens,https://codeforces.com/problemset/problem/1798/B,"brute force,data structures,greedy,implementation"
1834E | Showstopper,https://codeforces.com/problemset/problem/1798/A,"greedy,implementation,sortings"
1834D | Li Hua and Path,https://codeforces.com/problemset/problem/1797/F,"data structures,dfs and similar,divide and conquer,dsu,trees"
1834C | Li Hua and Array,https://codeforces.com/problemset/problem/1797/E,"brute force,data structures,dsu,math,number theory,two pointers"
1834B | Li Hua and Tree,https://codeforces.com/problemset/problem/1797/D,"brute force,data structures,dfs and similar,dp,implementation,trees"
1834A | Li Hua and Chess,https://codeforces.com/problemset/problem/1797/C,"constructive algorithms,greedy,interactive"
1833G | Li Hua and Pattern,https://codeforces.com/problemset/problem/1797/B,"constructive algorithms,greedy"
1833F | Li Hua and Maze,https://codeforces.com/problemset/problem/1797/A,"constructive algorithms,flows,graphs,greedy,implementation"
1833E | Strange Triples,https://codeforces.com/problemset/problem/1796/F,"brute force,math,number theory"
1833D | Colored Subgraphs,https://codeforces.com/problemset/problem/1796/E,"dfs and similar,dp,games,greedy,trees"
1833C | Maximum Subarray,https://codeforces.com/problemset/problem/1796/D,"data structures,dp,greedy,two pointers"
1833B | Maximum Set,https://codeforces.com/problemset/problem/1796/C,"binary search,math"
1833A | Asterisk-Minor Template,https://codeforces.com/problemset/problem/1796/B,"implementation,strings"
1832F | Typical Interview Problem,https://codeforces.com/problemset/problem/1796/A,"brute force,implementation,strings"
1832E | Removal Sequences,https://codeforces.com/problemset/problem/1795/G,"bitmasks,dfs and similar,graphs"
1832D2 | Blocking Chips,https://codeforces.com/problemset/problem/1795/F,"binary search,constructive algorithms,dfs and similar,greedy,trees"
1832D1 | Explosions?,https://codeforces.com/problemset/problem/1795/E,"binary search,data structures,dp,greedy,math"
1832C | Triangle Coloring,https://codeforces.com/problemset/problem/1795/D,"combinatorics,math"
1832B | Tea Tasting,https://codeforces.com/problemset/problem/1795/C,"binary search,data structures,implementation"
1832A | Ideal Point,https://codeforces.com/problemset/problem/1795/B,"brute force,geometry,greedy"
1831B | Two Towers,https://codeforces.com/problemset/problem/1795/A,"brute force,implementation,strings"
1831A | Labeling the Tree with Distances,https://codeforces.com/problemset/problem/1794/E,"data structures,dp,greedy,hashing,implementation,trees"
1830F | Counting Factorizations,https://codeforces.com/problemset/problem/1794/D,"combinatorics,divide and conquer,dp,math,number theory"
1830E | Scoring Subsequences,https://codeforces.com/problemset/problem/1794/C,"binary search,greedy,math,two pointers"
1830D | Not Dividing,https://codeforces.com/problemset/problem/1794/B,"constructive algorithms,greedy,math"
1830C | Prefix and Suffix Array,https://codeforces.com/problemset/problem/1794/A,strings
1830B | Rebrending,https://codeforces.com/problemset/problem/1793/F,"brute force,data structures,divide and conquer,implementation"
1830A | Velepin and Marketing,https://codeforces.com/problemset/problem/1793/E,"binary search,data structures,dp,greedy,sortings,two pointers"
1829H | Moscow Gorillas,https://codeforces.com/problemset/problem/1793/D,"binary search,dp,greedy,implementation,math,two pointers"
1829G | Dora and Search,https://codeforces.com/problemset/problem/1793/C,"constructive algorithms,data structures,two pointers"
1829F | Fedya and Array,https://codeforces.com/problemset/problem/1793/B,"constructive algorithms,math"
1829E | Yet Another Promotion,https://codeforces.com/problemset/problem/1793/A,"greedy,math"
1829D | Graph Coloring (hard version),https://codeforces.com/problemset/problem/1792/F2,"brute force,combinatorics,divide and conquer,dp,fft,graphs"
